province,city,name,address
北京市,北京市,星巴克(东三环北路第三咖啡店),东三环北路38号院1号楼1层101内7室
北京市,北京市,星巴克咖啡(万达店),府前西街1号院1号楼怀柔区万达广场一层星巴克
北京市,北京市,星巴克咖啡(首钢园区店),石景山路68号晾水池东路(三高炉北侧)
北京市,北京市,星巴克咖啡(中友店),西单北大街汉光百货1层
北京市,北京市,星巴克咖啡(西单北大街店),西单北大街110号巴黎老佛爷百货F2层L2-2-23号
北京市,北京市,星巴克咖啡(新中关店),中关村大街19号gate新中关购物中心F1层L128A
北京市,北京市,星巴克咖啡(北京君太百货),西单北大街131号西单大悦城2层33号
北京市,北京市,星巴克咖啡(中航技广场店),市经济技术开发区荣华南路15号院1号楼101-011室
北京市,北京市,星巴克咖啡(翠微广场店),复兴路29号翠微百货翠微店B座1F层110
北京市,北京市,星巴克咖啡(凯德MALL.望京),广顺北大街33号凯德MALL望京L1层01-28
北京市,北京市,星巴克咖啡(大悦城西单店),西单北大街131号大悦城西单店F1层101-XZL号
北京市,北京市,星巴克咖啡(悦盛路店),长阳镇悦盛路6号院首创奥特莱斯F1层F1-B06
北京市,北京市,星巴克咖啡(远大路金源燕莎1店),远大路1号世纪金源购物中心1层1016号
北京市,北京市,星巴克咖啡(顺义隆华店),新顺南大街11号隆华购物中心1层2单元
北京市,北京市,星巴克咖啡(方庄通润店),方庄芳古园1区28号楼1层
北京市,北京市,星巴克咖啡(护国寺街店),护国寺街85号11号楼1层F1-3单元
北京市,北京市,星巴克咖啡(望京华彩店),广顺北大街16号院3号楼望京华彩商业中心一层A150单元
北京市,北京市,星巴克咖啡(京通罗斯福广场),九棵树中街9号京通罗斯福广场1F层111-112
北京市,北京市,星巴克咖啡(长阳绿地店),天星街1号院7号楼绿地缤纷城F1层
北京市,北京市,星巴克咖啡(搜秀购物广场店),崇文门外大街40号搜秀城1层
北京市,北京市,星巴克咖啡(北京东三环南路店),东三环南路1号佳龙大厦101
北京市,北京市,星巴克咖啡(清河店),清河嘉园东区甲1号
北京市,北京市,星巴克咖啡(万达广场通州店),新华西街58号通州万达广场1层1057号
北京市,北京市,星巴克咖啡(方恒国际店),阜通东大街6号院3号楼1层1-101
北京市,北京市,星巴克咖啡(天虹百货手帕口店),广安门外大街168号天虹百货商场1层101-1号
北京市,北京市,星巴克咖啡(赛特购物中心店),建国门外大街22号赛特购物中心B1层
北京市,北京市,星巴克咖啡(东三环乐成店),东三环中路22号乐成1层(双井桥东北角)
北京市,北京市,星巴克咖啡(永旺店),北清路1号院1号楼永旺国际商城购物中心1层120号
北京市,北京市,星巴克咖啡(北京泰康国际大厦店),武定侯街2号2号楼泰康国际大厦1层101-102单元
北京市,北京市,星巴克咖啡(华冠购物中心店),北关西路14号华冠购物中心F1层
北京市,北京市,星巴克咖啡(北京上地三街咖啡店),上地三街9号金隅嘉华大厦B座1层
北京市,北京市,星巴克咖啡(中关村时代广场店),中关村大街15-9号F1R101、F2R201
北京市,北京市,星巴克咖啡(建外SOHO店),东三环中路39号建外SOHO5号别墅1户
北京市,北京市,星巴克咖啡(北京天坛东路店),天坛东路46号红桥市场1层001单元
北京市,北京市,星巴克咖啡(文化园东路店),文化园东路6号亦庄创意生活广场F1层
北京市,北京市,星巴克咖啡(东方东路店),东方东路19号外交办公大楼1-2层
北京市,北京市,星巴克咖啡(中粮广场店),建国门内大街8号北京中粮广场C座G130-132
北京市,北京市,星巴克咖啡(鹏景阁店),望京湖光中街1号鹏景阁1层
北京市,北京市,星巴克咖啡(北京站),毛家湾胡同甲13号北京站F2层
北京市,北京市,星巴克咖啡(万达广场),石景山路乙18号万达广场1F层120
北京市,北京市,星巴克咖啡(万达广场),丰科路与五圈路交汇处(地铁9号线丰台科技园站C口)万达广场F1层1056
北京市,北京市,星巴克咖啡(金街店),王府井大街301号新燕莎金街购物中心1层MF105-1-2
北京市,北京市,星巴克咖啡(银座百货),东直门外大街48号银座百货L3层L3-23
北京市,北京市,星巴克咖啡(富卓店),宣武门外大街28号富卓大厦1层
北京市,北京市,星巴克咖啡(未来中心店),北七家镇英才南一街3号院1号楼103
北京市,北京市,星巴克咖啡(五道口购物中心店),成府路28号五道口购物中心1层101-10B号、2层201-09号
北京市,北京市,星巴克咖啡(龙域万科店),回龙观街道龙域中心A座1层
